,name,birth_date,gender,function,country_code
88,WINIARSKI Michal,1983-09-28,Male,Head Coach,GER
89,RANNER Thomas,1987-07-31,Male,Assistant Coach,GER
90,POSMYK Dominik,1995-08-12,Male,Assistant Coach,GER
139,CIAMARRA Roberto,1982-03-30,Male,Assistant Coach,FRA
140,GEILER Loic,1984-04-14,Male,Assistant Coach,FRA
141,GIANI Andrea,1970-04-22,Male,Head Coach,FRA
268,PEREIRA BRAVO Joao,1979-01-07,Male,Assistant Coach,CAN
269,SAMMELVUO Tuomas,1976-02-16,Male,Head Coach,CAN
270,HAWKINS Michael,1989-10-24,Male,Assistant Coach,CAN
285,RUSEK Pawel,1983-01-21,Male,Assistant Coach,POL
286,GRBIC Nikola,1973-09-06,Male,Head Coach,POL
287,SWACZYNA Adam,1989-05-04,Male,Assistant Coach,POL
336,MENDEZ Marcelo,1964-06-20,Male,Head Coach,ARG
337,LOPEZ Martin,1980-10-17,Male,Assistant Coach,ARG
338,RICO GOLBA Pablo,1966-11-03,Male,Assistant Coach,ARG
369,ELNAFRAWY Mohamed,1983-06-09,Male,Assistant Coach,EGY
397,FUERBRINGER Matt,1974-01-29,Male,Assistant Coach,USA
398,SPERAW John,1971-10-18,Male,Head Coach,USA
399,WEBER Javi,1966-01-06,Male,Assistant Coach,USA
400,WALL Mike,,Male,Assistant Coach,USA
402,BLAIN Philippe,1960-05-20,Male,Head Coach,JPN
403,FUKATSU Takayuki,1988-11-09,Male,Assistant Coach,JPN
404,ITOH Kenji,1981-09-13,Male,Assistant Coach,JPN
434,de GIORGI Ferdinando,1961-10-10,Male,Head Coach,ITA
435,CAPONERI Massimo,1964-05-22,Male,Assistant Coach,ITA
436,GIOLITO Nicola,1976-09-12,Male,Assistant Coach,ITA
666,JANIC Bojan,1982-03-11,Male,Assistant Coach,SRB
667,JEVTIC Ivica,1983-07-26,Male,Assistant Coach,SRB
668,KOLAKOVIC Igor,1965-06-04,Male,Head Coach,SRB
669,MAJSTOROVIC Neven,1989-03-17,Male,Assistant Coach,SRB
804,ROCHA de REZENDE Bernardo,1959-08-25,Male,Head Coach,BRA
805,RIBAS Giuliano,,Male,Assistant Coach,BRA
808,LEONALDO Roberley Luiz,,Male,Assistant Coach,BRA
809,TABACH Ricardo,,Male,Assistant Coach,BRA
917,MUNOZ BENITEZ Fernando,1970-07-27,Male,Head Coach,EGY
924,CRETU Gheorghe,1968-08-08,Male,Head Coach,SLO
927,de CECCO Matteo,1969-01-23,Male,Assistant Coach,SLO
930,KEDACIC Zoran,1984-04-06,Male,Assistant Coach,SLO
950,ELZEFTAWEY Tarek,1975-04-12,Male,Assistant Coach,EGY
