,name,birth_date,gender,function,country_code
126,ROUSSEAUX Emile,1961-04-03,Male,Head Coach,FRA
127,ANDRE Felix,1987-03-19,Male,Assistant Coach,FRA
128,GAUTHIER Charles,1981-12-31,Male,Assistant Coach,FRA
144,SANTARELLI Daniele,1981-06-08,Male,Head Coach,TUR
145,FLISI Diego,1979-05-09,Male,Assistant Coach,TUR
146,ZOTTA Andrea,1994-12-27,Male,Assistant Coach,TUR
147,VATANSEVER Recep,1991-01-17,Male,Assistant Coach,TUR
167,PAKKAN Saim,1989-03-27,Male,Assistant Coach,SRB
173,ERSIMSEK Ahmetcan,1992-05-13,Male,Assistant Coach,SRB
240,LAI Yawen,,Female,Assistant Coach,CHN
347,KWIEK Marcos,1967-07-18,Male,Head Coach,DOM
348,ROCHA PACHECO Wagner,1977-01-26,Male,Assistant Coach,DOM
355,SANCHEZ DURAN Wilson,1977-07-01,Male,Assistant Coach,DOM
378,CAI Bin,1966-10-04,Male,Head Coach,CHN
379,LI Yanlong,1980-03-22,Male,Assistant Coach,CHN
380,YUAN Zhi,1981-09-29,Male,Assistant Coach,CHN
391,DUNPHY Marv,1948-01-07,Male,2nd Assistant Coach,USA
392,KIRALY Karch,1960-11-03,Male,Head Coach,USA
393,MIYASHIRO Tama,1987-07-08,Female,Assistant Coach,USA
394,REFT Alfee,1982-12-15,Male,Assistant Coach,USA
395,VIRTUE Erin,1983-04-13,Female,Assistant Coach,USA
401,TOKUMOTO Yukito,1976-10-09,Male,Assistant Coach,JPN
405,MANABE Masayoshi,1963-08-21,Male,Head Coach,JPN
406,KAWAKITA Gen,1976-03-25,Male,Assistant Coach,JPN
437,VELASCO Julio,1952-02-09,Male,Head Coach,ITA
438,BARBOLINI Massimo,1964-08-29,Male,Assistant Coach,ITA
439,BERNARDI Lorenzo,1968-08-11,Male,Assistant Coach,ITA
483,LAVARINI Stefano,1979-01-17,Male,Head Coach,POL
484,VETTORI Nicola,1971-05-06,Male,Assistant Coach,POL
485,PACHLINSKI Krystian,1988-08-23,Male,Assistant Coach,POL
486,SUFA Bartosz,1987-08-11,Male,Assistant Coach,POL
585,MUNALA Japheth,1963-11-30,Male,Head Coach,KEN
586,BARASA James,1970-10-08,Male,Assistant Coach,KEN
671,BLAGOJEVIC Jelena,1988-12-01,Female,Assistant Coach,SRB
672,GUIDETTI Giovanni,1972-09-20,Male,Head Coach,SRB
806,LAGES GUIMARAES Jose Roberto,1954-07-31,Male,Head Coach,BRA
807,DO REGO BARROS JUNIOR Paulo,,Male,Assistant Coach,BRA
810,COPPINI FERNANDES Wagner Luiz,,Male,Assistant Coach,BRA
887,MEIJER Eric,1989-09-26,Male,Assistant Coach,NED
888,KOSLOWSKI Felix,1984-03-18,Male,Head Coach,NED
889,FERRER CUTINO Gil,1971-10-11,Male,Assistant Coach,NED
972,CICHELLO Juan Manuel,,Male,Assistant Coach,ITA
