,name,country_code,height,birth_date,birth_place,nickname
1564,FROMM Christian,GER,204,1990-08-15,Berlin,
1565,GROZER Gyorgy,GER,200,1984-11-27,Budapest,
1566,KAMPA Lukas,GER,196,1986-11-29,Bochum,
1567,KARLITZEK Moritz,GER,191,1996-08-12,Hammelburg,Kalli
1568,KRICK Tobias,GER,210,1998-10-22,Bingen Am Rhein,
1569,REICHERT Moritz,GER,194,1995-03-15,Lebach,
1570,SCHOTT Ruben,GER,193,1994-07-08,Berlin,
1571,ZENGER Julian,GER,190,1997-08-26,Wangen Im Allgau,
1572,ZIMMERMANN Jan,GER,190,1993-02-12,Tubingen,
1574,BREHME Anton,GER,206,1999-08-10,Leipzig,
1576,MAASE Lukas,GER,208,1998-08-28,Dresden,Jenia
1577,TILLE Johannes,GER,186,1997-05-07,Muhldorf,
1578,BRAND Tobias,GER,193,1998-07-09,Mainz,Tobi
2372,BRIZARD Antoine,FRA,196,1994-05-22,Poitiers,La Briz
2373,CARLE Timothee,FRA,195,1995-11-30,,
2374,CHINENYEZE Barthelemy,FRA,204,1998-02-28,Coudekerque-branche,Babar
2375,CLEVENOT Trevor,FRA,199,1994-06-28,Royan,Trev
2376,FAURE Theo,FRA,202,1999-10-12,,
2377,GREBENNIKOV Jenia,FRA,188,1990-08-13,Rennes,"Louzbek, Grebe"
2378,JOUFFROY Quentin,FRA,202,1993-07-05,Grenoble,
2379,le GOFF Nicolas,FRA,206,1992-02-15,Paris,
2380,LOUATI Yacine,FRA,198,1992-03-04,Tourcoing,
2381,NGAPETH Earvin,FRA,194,1991-02-12,Saint-raphael,"Pepethe, Magic"
2382,PATRY Jean,FRA,207,1996-12-27,Montpellier,"Jeannot, Jean Patoune"
2383,TILLIE Kevin,FRA,200,1990-11-02,Cagnes-sur-mer,K2
2384,TONIUTTI Benjamin,FRA,183,1989-10-30,Mulhouse,Totti
4211,BIENIEK Mateusz,POL,210,1994-04-05,Blachownia,"Bieniu, Visotto"
4212,BOLADZ Bartlomiej,POL,203,1994-09-28,Krzyz Wielkopolski,
4213,FORNAL Tomasz,POL,198,1997-08-31,Krakow,
4214,HUBER Norbert,POL,204,1998-08-14,Brzoz?w,
4215,JANUSZ Marcin,POL,196,1994-07-31,Nowy S?cz,
4216,KACZMAREK Lukasz,POL,204,1994-06-29,Krotoszyn,Zwierzu
4217,KOCHANOWSKI Jakub,POL,199,1997-07-17,Gizycko,"Kochan, Kuba"
4218,KUREK Bartosz,POL,207,1988-08-29,Walbrzych,Kuras
4219,LEON VENERO Wilfredo,POL,202,1993-07-31,Santiago De Cuba,"Fifi, Wifi"
4220,LOMACZ Grzegorz,POL,187,1987-10-01,Ostroleka,Gregor
4221,SEMENIUK Kamil,POL,195,1996-07-16,Kedzierzyn-kozle,Maszyna (Machine)
4222,SLIWKA Aleksander,POL,196,1995-05-24,Jawor,"Olek, Sliwek"
4223,ZATORSKI Pawel,POL,184,1990-06-21,Lodz,"Zati, Zator, Duracell"
4654,SANCHEZ PAGES Matias,ARG,175,1996-09-20,San Juan,Mati
4655,MARTINEZ FRANCHI Jan,ARG,190,1998-01-28,,
4656,PALONSKY Luciano,ARG,198,1999-07-08,Buenos Aires,Lulo
4657,LOSER Agustin,ARG,198,1997-10-12,General Alvear,
4658,DANANI Santiago,ARG,176,1995-12-12,Buenos Aires,
4659,PALACIOS Ezequiel,ARG,198,1992-10-02,San Martin,Pala
4660,LIMA Bruno,ARG,198,1996-02-04,San Juan,El Nene
4662,de CECCO Luciano,ARG,191,1988-06-02,Santa Fe,"Gordo, Cachete, Lu"
4663,KOUKARTSEV Pablo Sergio,ARG,203,1993-03-25,Buenos Aires,Kuka
4665,VICENTIN Luciano,ARG,197,2000-04-04,Parana,Luchi
4681,RAMOS Martin,ARG,197,1991-08-26,Buenos Aires,El Turco
4682,ZERBA Nicolas,ARG,203,1999-06-13,Buenos Aires,Nico
4684,CONTE Facundo,ARG,197,1989-08-25,Vicente Lopez,Facu
4833,ELHADDAD Mohamed Osman,EGY,212,2000-09-22,,
4867,ABDELSALAM ABDELMOATY Mostafa Gaber,EGY,191,1997-07-25,,
4869,ISSA Mohamed Moustafa,EGY,200,1988-04-12,,Le'ba
4872,MASOUD Mohamed,EGY,211,1994-05-01,,Dola
4876,ABDELRAHMAN Ahmed Azab,EGY,194,2000-03-01,,
4879,OMAR Ahmed,EGY,196,1995-03-04,,
4882,ABDALLA Hossam,EGY,203,1988-02-16,Damanhur,
4883,HAIKAL Reda,EGY,198,1990-11-07,Cairo,
4884,ALY Seifeldin Hassan,EGY,198,1999-07-14,Giza,
4885,EISSA Abdelrahman Elhossiny,EGY,186,2001-08-24,Cairo,
4888,SEOUDY Abdelrahman,EGY,207,1997-08-21,,
5294,SAYEDIN Mohamed,EGY,192,1996-04-01,,
5295,HASSAN Mohamed,EGY,175,1993-09-28,,
5462,MA'A Micah,USA,192,1997-04-16,Hawaii,
5463,ANDERSON Matthew,USA,202,1987-04-18,"Buffalo, Ny",Pup
5464,AVERILL Taylor,USA,201,1992-03-05,"Portland, Or",
5465,CHRISTENSON Micah,USA,198,1993-05-08,"Honolulu, Hi",
5466,DEFALCO Torey,USA,198,1997-04-10,"Springfield, Mo",TJ
5467,ENSING Kyle,USA,201,1997-03-06,"Santa Clarita, Ca",Drone
5468,HOLT Maxwell,USA,205,1987-03-12,"Cincinatti, Oh",Max
5469,JAESCHKE Thomas,USA,198,1993-09-04,"Wheaton, Il",
5470,JENDRYK II Jeffrey,USA,208,1995-09-15,"Wheaton, Il",Jungle Cat
5471,MUAGUTUTIA Garrett,USA,196,1988-02-26,"Oceanside, Ca",
5472,RUSSELL Aaron,USA,205,1993-06-04,"Arbutus, Md",
5473,SHOJI Erik,USA,184,1989-08-24,"Honolulu, Hi",
5474,SMITH David,USA,201,1985-05-15,"Panorama City, Ca",Dave
5522,TAKAHASHI Ran,JPN,188,2001-09-02,Kyoto,
5523,TAKAHASHI Kentaro,JPN,202,1995-02-08,Kawanishi,
5524,TOMITA Shoma,JPN,190,1997-06-20,Mishima,Pigmon
5525,FUKATSU Akihiro,JPN,183,1987-07-23,Toyota,Aki
5526,KAI Masato,JPN,200,2003-09-25,Nobeoka,
5529,MIYAURA Kento,JPN,190,1999-02-22,Arao,
5537,YAMAMOTO Tomohiro,JPN,171,1994-11-05,Ebetsu,Tomo
5538,ISHIKAWA Yuki,JPN,191,1995-12-11,Okazaki,
5539,ONODERA Taishi,JPN,200,1996-02-27,Natori,
5540,YAMAUCHI Akihiro,JPN,204,1993-11-30,Nagoya,Yama
5541,NISHIDA Yuji,JPN,187,2000-01-30,Inabe,"Yu, Yuji"
5542,SEKITA Masahiro,JPN,175,1993-11-20,Tokyo,Goripon (Japanese cartoon character who looks like a gorilla)
5809,SBERTOLI Riccardo,ITA,188,1998-05-23,Milan,Ricky
5810,GIANNELLI Simone,ITA,200,1996-08-09,Bolanzo,Simo
5811,MICHIELETTO Alessandro,ITA,205,2001-12-05,Desenzano,Ale
5812,LAVIA Daniele,ITA,200,1999-11-04,Cariati,
5813,BOVOLENTA Alessandro Alberto,ITA,202,2004-05-27,Rome,Bovo
5814,GALASSI Gianluca,ITA,201,1997-07-24,Trento,
5815,ROMANO Yuri,ITA,201,1997-07-26,Monza,
5816,SANGUINETTI Giovanni,ITA,203,2000-04-14,Bologna,
5817,RUSSO Roberto,ITA,207,1997-02-23,Palermo,
5818,BOTTOLO Mattia,ITA,196,2000-01-03,Bassano Del Grappa,
5819,BALASO Fabio,ITA,178,1995-10-20,Camposampiero,
5865,PORRO Luca,ITA,193,2004-05-09,Genoa,
6878,van BERKEL Lucas,CAN,210,1991-11-29,"Edmonton, Ab",
6879,LUI Justin,CAN,178,2000-05-08,,
6880,WALSH Brett James,CAN,196,1994-02-19,"Calgary, Ab",
6881,HOFER Brodie,CAN,200,2000-04-27,,
