,name,country_code,height,birth_date,birth_place,nickname
2243,CAZAUTE Helena,FRA,184,1997-12-17,Narbonne,Caz
2244,BAUER Christina,FRA,196,1988-01-01,Bergen,
2245,SYLVES Amandha,FRA,194,2000-12-29,Baie-mahault,
2246,GELIN Juliette,FRA,162,2001-11-02,Montpellier,Juju
2247,ROTAR Amelie,FRA,188,2000-10-24,,
2248,GIARDINO Amandine,FRA,172,1995-03-30,La Seyne-sur-mer,
2249,OLINGA ANDELA Leandra,FRA,185,1997-08-12,,
2250,RESPAUT Emilie,FRA,176,2003-04-25,Saint-raphael,
2251,STOJILJKOVIC Nina,FRA,180,1996-09-01,Paris,
2252,BAH Halimatou,FRA,185,2003-12-21,Epinay-sous-senart,
2253,GICQUEL Lucille,FRA,189,1997-11-13,Rennes,Lulu
2254,SCHALK Maeva,FRA,185,2005-12-14,,
2255,NDIAYE Iman,FRA,188,2002-01-13,Paris,
2720,ERDEM DUNDAR Eda,TUR,188,1987-06-22,Istanbul,"Edi, Eduska"
2726,OZBAY Cansu,TUR,179,1996-10-17,Izmir,
2733,SAHIN Elif,TUR,184,2001-01-19,Ankara,
2737,ORGE Gizem,TUR,172,1993-04-26,Ankara,Minister of Defence
2742,GUNES Zehra,TUR,198,1999-07-07,Istanbul,
2754,ARICI Beyza,TUR,190,1995-07-27,,
2755,KALAC Asli,TUR,185,1995-12-13,Istanbul,
2824,VARGAS Melissa Teresa,TUR,194,1999-10-16,Cienfuegos,Vargas Airlines
2826,KARAKURT Ebrar,TUR,195,2000-01-17,Balikesir,
2828,BALADIN Hande,TUR,187,1997-09-01,K?tahya,
2831,DIKEN Meliha,TUR,182,1993-09-17,Gradacac,Melly
2835,AYDIN Ilkin,TUR,179,2000-01-05,,
2838,CEBECIOGLU Derya,TUR,181,2000-10-24,Mersin,
3321,SIMIYU Loice Masitsa,KEN,182,2001-08-20,,Bouncer
3322,KUNDU Agripina Khayesi,KEN,155,1993-04-24,Kakamega,
3323,ATUKA Trizah,KEN,189,1992-04-14,Kakamega,
3324,OWINO Pamella Adhiambo,KEN,172,2001-09-26,Kisumu County,
3325,KIPRONO Sharon Chepchumba,KEN,183,1998-10-26,,Chumba
3326,MUKUVILANI Edith,KEN,184,1994-07-20,,Wisah
3327,KASAYA Leonida,KEN,168,1993-10-10,Kakamega,
3328,MISOKI Emmanculate Nekesa,KEN,184,2003-06-06,,
3329,MUTINDA Esther Kemene,KEN,176,1999-04-21,,
3330,NAMUTIRA Juliana,KEN,181,1999-05-14,Kakamenga,"Bulldozer, Tila"
3331,KAEI Lorine Chebet,KEN,179,1999-10-08,Mt. Elgon,
3332,BARASA Belinda Nanjala,KEN,188,2001-04-28,,
4051,TAPIA CRUZ Alondra Denis,DOM,193,2004-05-19,La Vega,
